Ability,Short Description
Heave-Ho,"Instead of making a normal Unarmed Combat attack, this character can spend a feat point to throw a smaller character as an attack.  See p. 11 of Urban Adventure Guide for more details."
Hidden Traps,Other characters never gain bonuses on Detection skill rolls to spot traps set by this character.
Hit 'em Low,"When a friendly character hits a living or undead enemy character while the enemy is B2B with this character, the enemy character is Knocked Down."
Hit the Deck!,"While prone,you do not suffer damage from AOE's unless you is directly hit by the AOE.  If you are caught in an AOE that did not directly hit you, you go prone but suffer no damage."
Hulking Presence,Add an extra die to Intimidation skill rolls made using PHY
Hunter,"This character ignores forests, concealment, and cover when determining LOS or making a ranged attack."
Hunting Ground,"Choose an environment type (desert, forest, mountain, swamp) when you select this ability. This character gains +2 to Sneak and Tracking skill rolls while in the selected environment. This ability can be taken more than once. Each time this ability is selected, choose a new environment type."
Hunting Howl,"Once during each of his turns, this character can spend a quick action to unleash a terrifying howl. For the rest of his turn, he gains Terror [Willpower +2]."
Hyper Aggressive,"When this character suffers damage from an enemy attack at any time except while he is advancing, after the attack is resolved he can immediately make a full advance directly toward the attacking character."
Hyper Awareness,"While in this character's command range, friendly characters gain Circular Vision."
Hyper Perception,Investigators gain this Archetype Benefit:You gain boosted PER rolls.
Hyper Regeneration,"Remove d3 damage points from this character at the start of his Activation Phase. Additionally, this character regains d3 vitality points per hour in addition to normal healing."
Imbue Weapon,Can Imbue a non-mechanikal weapon with arcane energy. Weapon is considered Magical and Blessed (Ignores DEF and ARM from spells). See Pg 68 of Urban Adventures for full rules. 
Immunity: Cold,This character is immune to Cold damage.
Immunity: Corrosion,This character is immune to Corrosion damage.
Immunity: Electricty,This character is immune to Electrical damage.
Immunity: Fire,This character is immune to Fire damage.
Imperishable Conviction,"When another friendly character of this character's faith suffers damage from an enemy attack while in this character's command range, this character regains 1 vitality point. Has no effect while incapacitated."
Impervious Wall Stance,"During his turn, this character can forfeit his movement to use Impervious Wall Stance. The character gains +5 ARM, cannot be pushed or knocked down, and is immune to continuous effects. Last for 1 round."
Inflict Pain,"When this character hits a warbeast with a melee attack, he can place 1 fury point on or remove 1 fury point from it."
Inscribe Formulae,This character can Inscribe runeplates.  See “Mechanika” p. 279.
Inscribe Thrall Rune,Can inscribe Thrall Runes. See p. 71 Urban adventures for details.
Instructor,"While within 12 feet (2"") friendly characters gain an additional die on occupational skills that this character also posses, discard the lowest die in each roll."
Iron Sentinel,"While in B2B with one or more steamjacks you controls, gains +2 ARM and you cannot be knocked down."
Iron Will,The character can reroll failed Willpower rolls.  Each roll can be rerolled only once due to Iron Will.
Ironhead,"Char knows how to use and control mechanically enhanced steam-powered armor, such as Man-O-War armor."
'Jack Marshal,This character is skilled at instructing steamjacks to act. 
Jaws of the Beast,"In addition to his normal attacks, while in beast form this character can make one unarmed melee attack with his jaws during each of his turns. This attack uses the Unarmed Combat skill and is POW 4."
Jury Rig,Character can spend a full action and 1 or more scrap tokens to create improvised weapons and gear. Character must spend 1 scrap token for every 10 gc of the item’s cost. Creating items with scrap tokens requires a tinker’s kit.
Keen Eyed,The character can increase his range with a bow or rifle by 12 feet (2”) and his extreme range by sixty feet (10”).
Killing Spree,"When this character destroys one or more enemy characters with a melee attack during his combat action, after that attack is resolved this character can move up to six feet (1″) and make one additional melee attack."
Knife Thrower,"After throwing a weapon, this character can immediately draw a weapon without using a quick action."
Language,"This ability can be taken several times.  Each time a character takes this ability, he learns to speak, read, and write a new Language."
Legacy of Bragg,The character gains an additional Quick Action each turn that can only be used to make a fell call.
Life Drinker,"When this character destroys a living enemy character with a melee attack, he regains d3 vitality points."
Light Cavalry,"If the character is riding a mount not designated as a warhorse or battle mount, at the end of his turn he can advance up to 5”."
Line Breaker,The Character gains an additional die on impact attack rolls.
Load Bearing,Reduce the SPD and DEF penalties from the armor the character wears each by 1.
Long-Lived,"This character benefits from preternatural youth and can expect to live double the normal life expectancy of his race, experiencing almost no physical or mental decline right up until the end of his days."
Lost in the Crowd,"While in a crowd, character can spend a feat point to instantly vanish. See pg. 11 of Urban Adventures for full rules"
Low Breeding,"This Character suffers -2 to Etiquette rolls dealing with high society, but gains +2 to skill rolls relating to social dealings with the lower classes."
Maestro,"Stormsmithng lightning strike. Increase characters target number +2. Choose one effect: Ball Lighting- AOE3, Big One- POW 13, Lightning Generator- d3 consecutive characters are hit with POW 10 electrical damage."
Mage Killer,This character gains an additional die on damage rolls against characters that can cast spells.
Makeshift Engineering,"Given a day to find the parts in a town or industrialized settlement, the character can find any parts needed (or something to bodge ). The character can purchase parts, weapons, and gear at half the normal price."
Maltreatment,"Once per turn during his activation, this character can remove 1 fury point from a warbeast in his battlegroup that is in his control area and add 1 fury point to his own current total. The warbeast suffers d3 damage points."
Man of Iron,"Char learned to push body to the limits to compensate for failing steam-powered armor. While wearing steam-powered armor, the char never suffers the effects of internal damage."
Mark Target,Friendly characters gain +2 on ranged attack rolls against enemy models within thirty feet (5″) of this character and in his LOS.
Marksman,"The character can use Quick Actions and aim in the same round, but still has to forfeit his movement to gain the aiming bonus."
Meat Alchemy,"When this character makes an Alchemy skill roll to create a bone grinder fetish or an alchemical item that has animal fat, bioluminescent extract, burrow-mawg adrenal gland, mutagenic extract, or another organic ingredient, the roll is boosted."
Mother's Vengeance,"When enemy attack incapacitates or destroys one or more friendly characters within thirty feet (5″) of this character, after the attack is resolved this character gains +2 STR for one round and can immediately charge an enemy."
Mount Attack (Duskwolf),"While riding a Duskwolf, this character can make one attack with his mount during each of his turns. If the attack hits, the character hit suffers a damage roll equal to the mount’s STR. This attack uses any special rules of the mount’s normal attacks."
Mount Attack (Skirovik mountain goat),"While riding a Skirovik mountain goat, this character can make one attack with his mount during each of his turns. If the attack hits, the character hit suffers a damage roll equal to the mount’s STR. This attack uses any special rules of the mount’s normal attacks."
Mount Attack (Ulk),"While riding an Ulk, this character can make one attack with his mount during each of his turns. If the attack hits, the character hit suffers a damage roll equal to the mount’s STR. This attack uses any special rules of the mount’s normal attacks."
Mounted: Counter Charge,"While Mounted, once per turn when an enemy ends their movement withing 6"" of this char and in their LOS, this character may spend a feat point to charge that enemy. Cannot perform Counter Charge while engaged"
Natural Leader,"Increase your command range by 2"".  (Calculated in by the spreadsheet)"
Necromancer,Can reroll failed Craft (Thrall) rolls. Each roll can only be rerolled once as a result of necromancer.
Night Fighter,"When making an attack against a character with stealth or prowl, he automatically misses only if they are 8” away instead or 5”."
Oath of Silence,"This character cannot speak, and his command range is reduced by half. He must generally rely on the Signal Language ability to make himself understood by other characters, including any steamjacks he marshals."
Onslaught,"At the start of this character's turn before moving or taking any action, the character can make one ranged attack. After the attack has been resolved, the character must charge or run. The ranged attack is made before declaring a charge target."
Opening Salvo,"While mounted, at the start of this character’s turn before moving or taking any action, this character can make one ranged attack. After the attack has been resolved, the character must charge or run. The ranged attack is made before declaring a charge target."
Overflowing Health,"When this character spends a feat point to Walk It Off, he can immediately perform a quick action to cause a nonincapacitated friendly character in his command range to regain d3+1 vitality points."
Overpower,"During you Control Phase, after replinishing focus but before allocating focus, can spend focus to increase control area 1""/focus for one round"
Overtake,"When this character destroys one or more enemies with a melee attack during his turn, after the attack is resolved he can immediately advance up to six feet (1˝)."
Pack Hunter,Living warbeasts in this character’s battlegroup that are in his control area gain +2 on melee attack rolls.
Parry,"When armed with a Hand Weapon, this model cannot be targeted by free strikes."
Patch Up,"Char can repair her non-dest. armor during combat with tools. Full action and then make an INT + ME vs. TN 14. If failed, nothing happens.  If passed, armor regains damage equal to the char's ME Skill, or repair one damaged sys."
Pathfinder,Move over rough terrain without penalty.
Perfect Timing,The Character Is automatically missed by attacks made by friendly characters.
Poison Resistance,The character gains boosted rolls to resist poison and toxins.
Port of Call,A character with Port of Call can always find his way home again.  See page 165.
Power of Truth,"If the character tells only the truth during an encounter, his social rolls are automatically boosted. The character loses this ability for the rest of the encounter after telling a lie."
Powerful Attack (Magical),"When attacking with a spell, this character can spend 1 fury point or gain 1 fatigue point to boost all attack and damage rolls for the attack."
Powerstrain,"Once per turn the char can use this ability, her armor immediately suffers d3 damage points and can select from effects in NQ 52."
Precision Strike,"When the character hits with a melee attack, he decides which branch of the life spiral or column of the target's damage grid that is hit, if applicable."
Press the Attack,"When you slam an enemy, immediately after it is resolved you can move directly towards the slammed enemy up to any distance he was moved and then make a melee attack against that enemy."
Preternatural Awareness,Urban Nomads that chose it as a starting career gain this archetype benefit. You gain boosted Initiative rolls and enemies never gain back strike bonuses.
Prey,This char can spend 1 FP on his turn to use. Char designates one char as his prey. This char gains +2 on attack and damage rolls against prey. This char can use only once per encounter. See Wild Adventuers p. 26.
Privilege,Immune to persecution for petty crimes.  Right to be executed in the style befitting a noble.  +2 on social skill rolls when dealing with those beneath his station who recognize nobility.
Prowl,"The character gains Stealth (p. 220) while within terrain that provides concealment, the AOE of a spell that grants concealment, or the AOE of a cloud effect."
Pursuit,"Use 1 feat point.  Designates one enemy.  For encounter, when that enemy ends his movement you can make a full advance."
Quick Work,"When you kill one or more enemies with a melee attack during your combat action, immediately after that attack is resolved, make a ranged attack with a loaded weapon."
Rallying Cry,"Spend a feat point.  For one round this character's CMD is doubled and friendly characters in his CMD, including this character, become fearless."
Ram,"When this char hits an enemy with her horns, target is knocked down and can be pushed 1˝ directly away from this char. This char can immediately adv. directly toward target, up to distance pushed."
Reclaim,"When a Menite char is destroyed in the Reclaimer's CMD range, the Relcaimer can erect a grave marker to gain soul tokens. Char can have up to 5 soul tokens at a time and can spend them to boost attack & damage rolls. If Will Weaver can spend them to remove fatigue. If focuser they act like focus."
Reed in the Wind,This character cannot be targeted by free strikes.
Relentless Advance,"When this character is damaged by an enemy attack, he gains +2 SPD for one round."
Relentless Advance,"When another friendly character of this character's faith suffers damage from an enemy attack while in this character's command range, this character gains +2SPD for one round."
Relentless Charge,The character ignores penalties for rough terrain while charging.
Remedy,"While in B2B with a non-incapacitated living char, can spend a quick action and 1 FP to stop any continuous effects on that char or to grant that char an additional die on his next roll to resist poisons, toxins, or disease."
Renowned,"Within the scattered remnants of Nyss society, a warrior donning ryssovass arms commands fear, respect, and pity in equal measure. A character with this ability gains +2 on social skill rolls when dealing with other Nyss."
Resonance: Devourer Warbeast,This warlock can bond to Devourer warbeasts.
Resonance: Farrow Warbeast,This warlock can bond to Farrow warbeasts.
Resonance: Swamp Warbeast,This warlock can bond to Swamp warbeasts.
Resonance: Trollblood Warbeast,This warlock can bond to Trollblood warbeasts.
Resonance: Wold,This character can bond to wolds (p. 254).
Resourceful,This character can upkeep spells on steamjacks he controls without spending focus or gaining fatigue.
Restoration,"When another friendly character of this character's faith is destroyed while in this character's command range while this character is incapacitated, this character is immediately stabalized, regains 1 vitality point, nad is no longer incapacitated."
Retaliatory Strike,"When you are hit by enemy attack at any time other than his own turn, after the attack resolves you can spend 1 feat point to make a normal melee attack against the enemy that hit you."
Return Fire,"Once per round when this character is missed by an enemy's ranged attack, after the attack is resolved he can make one normal attack against the attacking enemy."
Rhulic 'Jack Marshal,This character is skilled at instructing steamjacks to act. Can only control Rhulic 'Jacks
Rhulic Warcaster,"Allows Character to bond to Rhulic 'jacks, Cannot bond to non-Rhulic 'jacks"
Ride-By Attack,"While mounted, this character can combine his movement and his action to make a Ride by Attack.  See page 166."
Riposte,"Once per round when this character is missed by an enemy's melee attack, Immediately after the attack is resolved he can make one normal attack against the attacking enemy."
Ritualist,This character can reroll failed ARC + Lore skill rolls when performing rituals. Each failed roll can be rerolled only once as a result of Ritualist.
Rock Solid,This character and friendly characters B2B with him cannot be knocked down.  The character loses this ability while he is mounted.
Rock Steady,"While wearing steam-powered armor the character cannot be knocked down, and the distance she is pushed or slammed is reduced by 1"", to a minimum of 1""."
Roll With It,"When this character would normally be knocked down, he goes prone instead.  The character loses this ability while mounted."
Runesmith,Fire Runeshots with a ranged Warjack weapon. Roll D6 per shot on a 1 weapon is damaged.
Saddle Shot,This character does not suffer the firing from horseback penalty when making ranged attacks while mounted.  See page 214.
Sanguine Bond,"When another friendly character of this character's faith suffers damage from an enemy attack while in this character's command range, this character can choose to suffer any amount of that damage instead. If this character suffers all the damage the other character sufferd, the other character is no longer considered to have been damaged."
Savage Strike,"On a critical hit with an unarmed or melee weapon attack by this character, he can spend 1 feat point to add an additional die to the damage roll."
Scavenger,"When this character breaks down an item, he gains d3 scrap tokens."
Scent,"While riding a duskwolf, this character gains +1 on his Tracking skill rolls and can ignore LOS when declaring a charge."
Scoping It Out,The character can spend 1 feat point to use any time during his turn. When used friendly characters in command area gain a quick action that can only be used to take cover.
Scorched Earth,This character gains +2 on ranged attack blast damage rolls.
Scrabble,This character gains an additional die on Climbing skill rolls.
Scrapper,"Full action to turn weapon or armor into 1 scrap token. Up to 3 scrap tokens at the Hero level, 4 at the Veteran level, and 5 at the Epic level. Spend 1 scrap token to reroll a failed Craft skill roll to build or repair non-magical items."
Scrounge,"Given a day to find the parts in a town or settlement, you can find any part needed (or something close enough he can Bodge).  You can purchase steamjack parts, weapons, and gear for half price."
Self-Sacrifice,"If friendly living char in this char’s CMD suffers dam, this char can spend 1 FP to take the dam. instead. After the damage, this char regains d3 vitality if not incapacitated by the attack. See Wild Adventures p. 27."
Sentry,"Once per round when an enemy is placed in or moves into the LOS of this character, this character can immediately make one attack, targeting that enemy."
Serpent Strike,The character's kick unarmed melee attacks gain Reach.
Set Defense,"When this character is armed with a weapon that has reach, an enemy in this character's front arc suffers -2 on charge, slam power attack, and impact attack rolls against him."
Shadow Magic,"When you cast a spell, no spell runes appear and magically sensitive characters cannot sense your magic.  A focuser/harnesser with this ability cannot be detected by another focuser/harnesser with the Magic Sensitivity."
Share the Load,"When this character removes fatigue points during his Maintenance Phase, he removes 1 additional point."
Shield Guard,"Once per turn, when a friendly character is directly hit while within 2”, you can choose to be directly hit instead.  Cannot use if incorporeal, knocked down, stationary, or prone."
Shield Slam,"When charging armed with a shield, instead of charge attack, spend feat point to slam target, making attack roll with shield.  See page 167."
Shifting Sands Stance,"During his turn, this character can forfeit his move to use Shifting Sands Stance. Character gains +2 DEF. If enemy attack misses char while in this stance and not advancing, after the attack is resolved this char can immediately advance up to 3"". Last one round."
Shootist,"This character ignores the firing into melee penalty when making ranged attacks. If the character misses with a ranged attack targeting a character in melee, the attack does not have the chance to hit another combatant. The attack simply misses."
Signal Howls,"While riding a duskwolf, this character gains eighteen feet (+3˝) to his command range."
Signal Language,You have created a coded signal language for use with your party.
Silence,"When Berserk foces this char to make an attack, can choose to make a Willpower roll against target #15, If the roll suceeds, he does not make the attack, if it fails he must make  the attack normally."
Silver Tongued,"Character is always considered  ""Trustworthy"" in negotiation."
Skilled Trapper,"When this character successfully sets a trap, add +2 to the target number to detect it."
Snacking,The character can spend a quick action to devour any destroyed character within its melee range to immediately regain d3 vitality points.
Snag & Slash,"When using a hooked great sword, you can pull riders from their mounts. See p. 166 Unleashed"
Snap Fire,"When this character destroys an enemy with a bow ranged attack during his turn, immediately after the attack has been resolved, this character can make one additional bow ranged attack. The additional attack does not generate further attacks due to Snap Fire."
Sniper,"When this character forfeits his movement to aim during his turn, the character's first ranged attack that turn gains boosted damage."
Snow-Wreathed,"While outdoors during his turn, this character can spend a feat point to use this ability. As long as he remains outdoors, the character gains concealment for the duration of the encounter."
Souie!,"This character can use this ability during his turn as a quick action. When he uses ability, warbeasts in his battlegroup that are outside his control area immediately make a full advance directly toward this character."
Soul Taker,"Gain 1 soul token when a living creature destroyed in CMD area. Soul tokens can be used as Feat Points, Focus, Fury, or to reduce Fatigue Points. Can have a max of 3 at a time."
Soul Thief,"Quick action: Try to steal a soul token from a character in CMD rng. Contested willpower roll, Fail: nothing happens, Suceed: take soul token from target. Can't have more than 3 soul tokens from ability."
Soulstorm,"While this character has one or more soul tokens, enemy characters not of the Menite faith entering or ending their turns within 2"" of him immediately suffer d3 damage points."
Specialization,The character does not suffer attack roll penalties when attacking with a weapon of the type chosen.
Spirit Eater,This character can reave fury points from enemy warbeasts it destroys with a melee attack. Other characters cannot reave fury points from enemy warbeasts destroyed by this character.
Spirit Guide,"When a living character is destroyed in this character’s control area and generates a soul token, this character’s controller chooses which eligible character in his control area gains the soul, regardless of the proximity of other characters."
Spring of Vitality,"While he is not incapacitated, this character regains 1 vitality point at the start of his Maintenance Phase. Character can spend 1 feat point while B2B with an incapacitated character to immediately stabilize that character."
Sprint,"At the end of this character’s turn, if she destroyed one or more enemy models with melee attacks that turn she can make a full advance."
Staredown,"As a quick action, this character can make a contested Willpower roll against a living animal or beast native to the wilds of Immoren with which he locks eyes. If the beast wins, nothing happens. If this character wins, the beast cannot advance toward or attack this character for one round."
Steady,This character cannot be knocked down. This character loses the ability while mounted.
Steam Jockey,The character can put on or remove mechanically enhanced steam-powered armor as a full action.
Steam Savant,The character's armor no longer suffers damage when she uses the Powerstrain ability.
Steamo,This character can reroll failed Mechanikal Engineering rolls to repair or dismantle steamjacks.  Each roll can be rerolled only once as a result of Steamo.
Stone Scavenger,"When the character scavenges the land for the materials required to construct a wold, he gathers an additional 25 gc worth of material each week for each rank of the Craft (wold) skill he possesses (see “Wolds and Wold Creation,” p. 254."
Stone Warder,The character can control Wold Stalkers. See p. 167 Unleashed.
Stone-and-Mortar Stance,"During his turn, this character can forfeit his move to use Stone-and-Mortar Stance. Char gains +3 ARM and cannot be knocked down. Last for one round."
Stonecutter,The character can reroll failed Craft (wold) rolls. Each failed roll can be rerolled once as a result of Stonecutter.
Storm Booster,"The character is able to call upon his manipulation of the storms to supercharge nearby steamjacks. Spend a full action to give a power token to each friendly steamjack in his command range. During the steamjacks control phase, allocate 1 focus point per power token it has, then remove the power token."
Storm of Leaves,This character is no longer limited in the number of times he can use Fall’s Shielding Wind each round.
Strangler,"When using a garrote on a victim, this character add +3 to his STR rolls."
Street Survivor,Character can use Survival instead of Streetwise in an urban environment.
Sucker!,"If you are directly hit by an enemy ranged attack, you can choose a friendly non- Incorporeal character within 2” to be hit instead.  That character is automatically hit and suffers all damage and effects."
Summer's Wrath,"When this character disables an enemy character with a melee damage roll, he can spend 1 feat point to cause enemy characters within 1″ of the disabled character to suffer the Fire continuous effect."
Survivalist,This character can reroll failed Survival rolls. Each failed roll can be rerolled only once as a result of Survivalist.
Swift Hunter,"When this character incapacitates an enemy with a normal ranged attack, immediately after the attack is resolved he can advance up to 12 feet (2”)."
Swift Rider,While riding a mount this character can move over rough terrain without penalty.
Take Down,Can be used any time you incapacitate another character with an attack and while the incapacitated character is in melee range.  The incapacitated character regains 1 vitality and is bound.
Targeteer,"When this character hits with a ranged attack, he chooses the branch of the target's life spiral or column of the target's damage grid that is hit, if applicable."
Team Leader,"When this character gains a feat point, instead of keeping it himself he can give it to a character currently in his command range."
Team Player,"This character can join any adventuring company regardless of the qualifications of the adventuring company, and gains all of the benefits of that company."
Test the Wind,"When this chararacter's artillery ranged attacks miss their targets, he can reroll the direction and/or distance of deviation. Each roll roll can be rerolled only once."
Thick Skin,This character can reroll the die to determine whether a continuous effect affecting him expires. Each roll can be rerolled only once per turn as a result of Thick Skin.
Tinkerer,The time required to construct a suit of ironhead armor or to add an equipment upgrade is reduced by half.
Tinkering,The character can modify her own gear and gear of characters in B2B contact. See Wild Adventurers p. 27 for information.
Torture,For every 2 hours character tourures someone they loose 1 PHY. If subject hits 0 PHY they die. Subject gets +1PHY for each day left alone. Subject reduced to 1 PHY will say anything to end torture. 
Traceless Path,"Move at only half normal rate of speed while using this ability, either on foot or horseback, and anyone attempting to follow his trail has +3 added to his skill roll target number."
Tracker,This character gains boosted Tracking skill rolls.
Trained Rider,"The character has been trained to ride a mount that is otherwise impossible to ride. Can take multiple times, each time for a new mount type."
Treewalker,"This character ignores forests when determining LOS. While in a forest, this character gains +2 DEF against melee attack rolls and can advance through obstructions and other characters if he has enough movement to move completely past them."
Trip,"When resolving a kick unarmed melee attack, on a crit the target is knocked down."
Troll Speaker,This character understands the culture and the methods of communication of trolls and dire trolls. He can reroll failed social skill rolls when dealing with full-blood trolls and dire trolls. A roll can be rerolled only once as a result of Troll Speaker.
Truth Reader,The character automatically knows when someone is lying to him.  Keep in mind that knowing someone is lying is different from discerning the truth.
Tune Up,"While B2B with a steamjack he controls, this character can use a Quick Action to use Tune Up.  During it's turn this round, the steamjack gains either boosted attack or damage rolls."
Tunneling,"With a pick or shovel, character can tunnel through the earth. Moves at half speed and ignores other characters and attacks. Forfeit movement or action to tunnel or emerge during activation. See Wild Adventures p. 27."
Two-Weapon Fighting,"While fighting with a one handed weapon, thrown weapon, or pistol in each hand, the character gains an additional attack for the second weapon.  He suffers -2 to attack rolls with the second weapon while doing so."
Unhallowed,"While in this character’s command range, friendly incorporeal characters gain +2 ARM and do not suffer blast damage."
University Education,The character can reroll failed Lore and Research skill rolls.  Each roll can be rerolled only once due to University Education.
Urcaen's Gate,"Once per turn during this character's Control Phase, he can spend one soul token to be placed anywhere completely within 3"" of his current location."
Vessel Upgrade,Gain an upgrade to your clockwork vessel. Can be taken more than once.
Vivisectionist,"When this character succeeds in a roll to extract alchemical ingredients from a living creature, double the amount he gains."
Warlock Bond,This character can bond with a warbeast. See p. 168 Unleashed
Warpborn,"Must take Skinwalker form during night, can transform during the day for full action or 1 feat point. +2 PHY, STR, and ARM and +3 to Detection and Tracking skills rolls. See Wild Adventures p. 27 for more information."
Wayfarer,This character can perform the Ley Line Travel ritual (p. 71) and gains an additional die on ARC + Lore skill rolls when performing that ritual. See Wild Adventures p. 72 for more information.
Waylay,"When an attack made by this character has a chance to knock out a target, increase the target number for the WILLPOWER roll to resist the knock out by 2."
Weapon Master (Javelin),"When resolving a javelin ranged attack, this character’s damage roll is boosted."
Weather Vane,"Predict weather. With a sucessful PER check against the a target number of 12, character can predict the next 24 hours with uncanny accuracy and can tell is the weather is being artificially manipulated."
Weatherman,The character can reroll failed Stormsmithing skill rolls. Each roll can only be rerolled once as a result of Weatherman.
Whelp Companion,This character immediately gains a pyg whelp companion. A pyg character who loses a limb during play can gain a whelp naturally without using this ability. A character can have up to three whelps at a time. See p. 169 Unleashed.
Whirlwind,"When a character makes his first unarmed melee attack during his turn each round, he can perform a thresher attack instead. A char making a thresher attack makes one roll vs characters in LOS and range of hid melee attack."
Whispers of the Creator,"Reclaimers might recive visions and directions from the creator, such as travel to a specific place, destroy an enemy, and so forth. (see p362 KNG)"
Winter's Respite,"During combat, this character can spend 1 feat point to gain Immunity: Cold for the rest of the encounter. Friendly characters B2B with this character also gain Immunity: Cold for the rest of the encounter."
Wold Mastery,Wold warbeasts in this character’s battlegroup beginning their activations in this warlock’s control area can make power attacks without being forced. This character can heal friendly wold warbeasts in his battlegroup.
Wolf Protector,This character’s duskwolf sees him as part of its pack and will protect him to the death. See p. 169 Unleashed.
