Spell,Cost,RNG,AOE,POW,UP,OFF,Notes
Admonition,2,6,-,-,YES,NO,"When enemy advances and ends mov. Within 6"" of target char in caster's battle grp, Affected char can immediately adv. 3"" then Admonition expires. No freestrikes during this move."
Affliction,3,8,-,-,YES,YES,"When a direct hit dmg roll fails to exceed ARM of affected character, target takes d3 damage."
Aggravator,3,SELF,CTRL,-,YES,NO,"While in caster's control area, friendly warbeasts gain Hyper Aggressive. (When a char with Hyper Aggressive suffers dmg from an enemy attack except while moving, it can full advance directly toward the attacker.)"
Agitation,3,SELF,CTRL,-,NO,NO,Place 1 fury on each enemy warbeast currently in CTRL. Cannot exceed FURY. Can only cast once per turn.
Annihilation,4,10,3,10,NO,YES,"Characters hit suffer POW 10 dmg rolls. If caster can gain soul token, caster gains soul tokens for those destroyed by spell."
Arcane Blast,3,10,3,13,NO,YES,A magical energy blast radiates from a single point to strike all characters in the AOE.
Arcane Bolt,2,12,-,11,NO,YES,Magical bolts of energy streak toward the target.
Arcane Strike,1,8,-,8,NO,YES, 
Arcantrik Bolt,2,10,-,12,NO,YES,Steamjack damaged becomes stationary for 1 round.
Ashen Cloud,2,CTRL,3,-,YES,NO,Place a 3” AOE cloud effect anywhere completely in the spellcaster's control area.  Characters without Immunity: Fire suffer -2 on attack rolls while within the AOE.
Ashes to Ashes,4,8,*,10,NO,YES,"If the target is hit, he and d6 of the nearest enemies within 5” of the target suffer a POW 10 fire damage roll."
Ashen Veil,2,6,-,-,YES,NO,"Target friendly character gains concealment. Living enemies suffer -2 to attack rolls while within 2"" of an affected character."
Aura of Protection,2,SELF,CTRL,-,YES,NO,"While in CTRL area, friendly characters gain +2 ARM."
Awakened Spirit,2,6,-,-,YES,NO,Warbeast in battlegroup can cast it's animus once without being forced during its activation.
Awareness,3,SELF,CTRL,-,NO,NO,"While in the spellcaster's control area, the front arc of characters in his battlegroup is extended to 360˚.  When determining LOS those characters ignore cloud effects, forests, and intervening characters.  Awareness lasts for one round."
Bad Blood,2,10,-,-,YES,YES,Warlock leaching from target warbeast suffers 1 damage per FURY leached. Warbeast cannot have damage transferred to it or regain vitality.
Backlash,3,8,-,12,YES,YES,"When Backlash damages a bonded enemy  warjack, its controller suffers 1 dmg"
Banishing Ward,2,6,-,-,YES,NO,Enemy upkeep spells on the targeted friendly character expire.  The affected character cannot be targeted by enemy spells or Animi.
Barrier of Flames,3,SELF,CTRL,-,NO,NO,"Friendly characters in the spellcaster's control area gain +1 DEF.  When a friendly character is hit with a melee attack while in the spellcaster's control area, the attacker suffers the Fire continuous effect.  Barrier of Flames lasts one round."
Batten Down the Hatches,3,SELF,CTRL,-,NO,NO,"While in the spellcaster's control area, friendly characters in his battlegroup cannot be knocked down and gain +3ARM but suffer -2 DEF.  Batten Down the Hatches lasts one round."
Battering Ram,2,6,-,12,NO,YES,When a character is hit by Battering Ram it can be pushed 3” directly away from the spell's point of origin.
Battle Charged,2,SELF,CTRL,-,YES,NO,"While in caster's control area, friendly warbeasts gain Counter Charge. (When an enemy advances and ends movement within 6"" and LOS of a char with Counter Charge, the char can immediately charge the enemy. Can only Counter Charge once per round. Cannot Counter Charge while engaged.)"
Battle Rage,3,6,-,-,NO,NO,Target friendly living character gains +2 to his melee attack rolls and becomes Fearless. Battle Rage lasts for one round.
Bestial,3,SELF,CTRL,-,NO,NO,"While in caster's control area, enemies cannot cast or channel spells. Bestial lasts for one round."
Black Out,4,SELF,CTRL,-,NO,NO,"Mechanika devices in the possession of enemy characters in the spellcaster's control area immediately deactivate.  If an enemy enters the spellcaster's control area, Mechanika devices in his possession immediately deactivate.  While in the spellcaster's control area, enemy characters cannot activate mechanika devices.  Black Out has no effect on steamjacks or mechanika armor.  Black out lasts for one round."
Blade of Radiance,2,10,–,10,NO,YES,Infernal and Undead characters hit by this spell suffer an additional die of damage.
Blaze of Glory,2,SELF,CTRL,-,YES,NO,"While in the spellcaster's control area, the weapons of characters in his battlegroup become magical weapons."
Blazing Effigy,4,SELF,*,14,NO,NO,Enemies within 2” of target friendly character suffer a POW 14 fire damage roll.
Bleed,2,8,-,10,NO,YES,"When spell damages living character, caster gains d3 vitality."
Blessing of Health,1,6,–,-,YES,NO,"Target characters gains +3 on PHY rolls to resist poison, disease and infection.  Additionally, if the affected character is currently suffering from the effects of poison, he immediately makes a PHY roll against the toxin rating of the poison.  If the roll succeeds, the effects of the poison immediately expire."
Blessing of Morrow,3,SELF,CTRL,-,YES,NO,"While in the spellcaster's control area, Friendly living characters do not suffer effects of lost aspects."
Blessing of the Devourer,2,6,-,-,YES,NO,"Target character gains +3 on Climbing, Jumping, Sneak, and Swimming rolls."
Blessings of War,2,6,-,-,YES,NO,"Target character's weapons gain Blessed.  (When making an attack with a weapon with Blessed, ignore spell effects that add to the attacking character's ARM or DEF.)"
Blur,2,6,-,-,YES,NO,Target character gains +3 DEF agaisnt ranged and magic attack rolls.
Blizzard,1,6,-,-,NO,NO,"Center a 3” AOE cloud effect on the target character.  The AOE remains centered on the character.  If the character is destroyed, remove the AOE from play.  Blizzard lasts for one round."
Blood Feast,4,SELF,-,-,NO,NO,The spellcaster gains +1 STR and ARM for each living character he destroys. Blood Feast lasts for one round.
Blood Magic: Accurate Strike,1,SELF,-,-,NO,NO,Caster's next empowered weapon melee attack roll this turn is boosted.
Blood Magic: Black Poison,1,SELF,-,-,NO,NO,"On hit, caster's next empowered weapon melee attack causes Continuous Effect: Corrosion."
Blood Magic: Bleeder,2,SELF,-,-,NO,NO,"If caster's next empowered weapon melee attack this turn damages a living character, the caster regains d3 vitality."
Blood Magic: Blood Burst,3,SELF,*,-,NO,NO,"If caster destroys a living char with his next empowered weapon melee attack, center 5"" AOE on destroyed char, then remove destroyed char. Enemies in AOE suffer blast damage with POW equal to destroyed char's STR."
Blood Magic: Brain Damage,3,SELF,-,-,NO,NO,"Living character damaged by caster's next empowered weapon melee attack this turn cannot cast spells, upkeep spells, or use animi for one round."
Blood Magic: Brutal Strike,1,SELF,-,-,NO,NO,Caster's next empowered weapon melee attack roll this turn gains an additional damage die.
Blood Magic: Dispel,2,SELF,-,-,NO,NO,"On hit, caster's next empowered weapon melee attack causes upkeep spells and animi to immediately expire."
Blood Magic: Grievous Strike,3,SELF,-,-,NO,NO,"Living character damaged by caster's next empowered weapon melee attack this turn loses Tough, cannot heal or be healed, and cannot transfer damage for one round."
Blood Magic: Heart Stopper,4,SELF,-,-,NO,NO,Damage exceeding the ARM of the character hit by the spellcaster's next empowered weapon melee attack this turn is doubled.  A character disabled by this attack cannot make a Tough roll.
Blood Magic: Hobbler,2,SELF,-,-,NO,NO,Living character damaged by caster's next empowered weapon melee attack this turn suffers -2 DEF and cannot run or charge for one round.
Blood Magic: Ivigoration,2,SELF,-,-,NO,NO,"If caster destroys a living char with his next empowered weapon melee attack, the caster can advance up to 3"" immediately after attack has been completely resolved."
Blood Magic: Weakness,2,SELF,-,-,NO,NO,Living character damaged by caster's next empowered weapon melee attack this turn suffers -3 STR for one round.
Blow the Man Down,3,8,-,15,NO,YES,"Cause knockdown. Crit: slam d6"" directly away regardless of base size. Collateral damage is POW 15. Incorporeal char are not slammed."
Bone Shaker,2,8,-,12,NO,YES,When Spell Destroys living or undead char. Spellcaster can have destroyed char immediately make an adv followed by a norm melee atk. Then remove dest char from table. Dest char cannot be targeted by free strikes.
Bounder,1,6,-,-,NO,NO,Target friendly char gets Feat: Bounding Leap Mighty archetype benefit. Bounder lasts for one round.
Boundless Charge,2,6,-,-,NO,NO,"Target can charge without spending focus/being forced, gains +2"" move and Pathfinder when it charges."
Brittle Frost,3,8,-,-,YES,YES,"The next time the target suffers damage, halve its base ARM when calculating damage from the damage roll.  After applying this damage Brittle Frost expires."
Broadside,3,SELF,CTRL,-,NO,NO,The spellcaster and steamjacks under the spellcaster's control currently in his control area can immediately make one normal ranged attack.  Broadside can be cast only once per turn.
Bullet Dodger,2,6,-,-,YES,NO,"Target Friendly gains +2 DEF vs ranged and Dodger (Adv. 2"" after missed by ranged atk)"
Buoyancy,1,6,-,-,YES,NO,Target friendly character gains +5 on Swimming skill rolls.
Carnivor,2,6,-,-,YES,NO,"Target character gains +2 to melee attack rolls against living targets. When the affected character destroys a living character with a melee attack, the spellcaster regains d3 vitality points. The destroyed character does not provide corpse, heart, or soul tokens."
Celerity,2,6,-,-,YES,NO,Target character gains one additional quick action during each of his turns.
Chain Lightning,3,10,-,10,NO,YES,"A character hit by Chain Lightning suffers a POW 10 electrical damage roll, and lightning arcs to d6 consecutive additional characters  The lightning arcs to the nearest character within 4” that it has not already arced to, ignoring the spellcaster.  Each character the lightning arcs to suffers a POW 10 electrical damage roll."
Chasten,2,8,-,12,NO,YES,Enemy upkeep spells and animi on a character damaged by Chasten expire.
Chiller,2,6,-,-,YES,NO,"While within 2” of the target friendly character, enemy characters suffer -2 DEF unless they have Immunity: Cold."
Cleansing Fire,3,8,3,14,NO,YES,"Cleansing Fire causes fire damage.  On a critical hit, characters hit suffer the Fire continuous effect."
Cloak of Fear,2,SELF,-,-,YES,NO,Caster gains Terror [Willpower+2]
Cloak of the Predator,1,6,-,-,NO,NO,Target character gains stealth while within terrain or a spell AOE that provides concealment or the AOE of a cloud effect. Lasts for one round.
Cold-Blooded,1,6,-,-,YES,NO,Target character can reroll missed attack rolls against living characters. Each attack can only be rerolled once. Cold-Blooded lasts for one round.
Convection,2,10,-,12,NO,YES,"When Convection destroys a living character, allocate 1 focus to jack in battlegroup in his control area."
Crevasse,3,8,-,12,NO,YES,"If Crevasse incapacitates it's original target, you can make a SP6 attack using the Incapacitated character as the attack's point of origin. Characters hit suffer a POW 12 magical damage roll."
Cross-Country,2,6,-,-,YES,NO,"Target friendly char gains Pathfinder and Hunter. (A char with Hunter ignores forests, concealment, and cover when determining LOS or making a ranged attack.)"
Crusader's Call,3,SELF,CTRL,-,NO,NO,Friendly characters beginging a charge in the spellcaster's control area gaon a +2 movement.  Crusader's Call lasts for one round.
Curse of Shadows,3,8,-,-,YES,YES,Target enemy suffers -2 ARM and cannot make free strikes. A char can advance through the affected char if he has enough movement to move completely past the affected char's base.
Dark Fire,2,10,-,12,NO,YES,"If Caster can gain soul tokens, gain soul tokens from characters destroyed by spell."
Dark Guidance,4,SELF,CTRL,-,NO,NO,"While in the spellcaster's control range, friendly characters gain an additional die on their melee attack rolls this turn."
Dark Water,3,CTRL,4,-,NO,NO,"Place a 4"" AOE anywhere completely within caster's control area that does not touch another char's base. AOE is shallow water and remains in play for one round. While completely within the AOE, an Amphibious char canoot be targetd by ranged attacks."
Daylight,3,SELF,CTRL,-,NO,NO,"While in the spellcaster's control area, Infernal and Undead characters suffer -2 DEF and ARM.  Additionally, the area around the caster glows with enough light so see in darkness (p.225).  Daylight lasts for one round."
Deadweight,2,8,-,12,NO,YES,"When Deadweight destroys an enemt model living or undead char, choose a char within 2"" of destroyed char. The chosen char must forfeit either movement or action on his next turn."
Deadeye,2,6,-,-,NO,NO,Target character gains an additional die on his first ranged attack roll during his next turn.
Death Field,4,SELF,*,-,NO,NO,"Caster and allies within 3"" gain Dark Shroud (Enemies in melee range of char suffer -2 ARM.) Lasts 1 turn."
Death Pact,2,6,-,-,YES,NO,Target living char gains +2 ARM and becomes Undead.
Deathly Slumber,4,6,-,-,NO,NO,"Target living incapacitated friendly char is immediately stabilised and enters a slumber for d6 +3 days. Affected char cannot be woken, further injured, appears dead, and anyone touching him takes d3 cold damage. When char wakes, he is healed of all injuries suffered in incapacitating encounter."
Deceleration,3,SELF,CTRL,-,NO,NO,"While in the Spellcaster's control area, friendly characters gain +2 DEF and ARM against ranged attacks.  Deceleration lasts for one round."
Deep Freeze,3,SELF,CTRL,-,NO,NO,"Characters within 2” of the spellcaster suffer a POW 12 cold damage roll.  Characters damaged by this spell cannot run, charge, or make power attacks for one round."
Devil's Tongue,2,SELF,-,-,YES,NO,Caster gains boosted Deception rolls.
Dirge of Mists,1,6,-,-,NO,NO,Target friendly char gains +1 DEF and Terror [Willpower]. Dirge of Mists lasts one round.
Dissolution Bolt,2,8,-,12,NO,YES,A character hit by Dissolution Bolt cannot channel spells for one round.
Disruptor,2,10,-,-,NO,YES,Target steamjack hit loses its focus points and cannont be allocated focus or channel spells for one round.
Dog Pile,2,10,-,-,YES,YES,"Warbeasts in battlegroup can charge or slam power attack against target enemy without being forced and regardless of LOS. Warbeasts gain +2"" movement and Pathfinder when resolving charge or slam."
Dominate Undead,3,10,-,-,NO,YES,"Caster makes a contested Willpower roll vs. target undead enemy hit. If caster loses, nothng happens. If caster wins, he can immediately make a full advance with undead char followed by a normal melee attack, then Dominate Undead expires."
Domination,3,8,-,-,NO,YES,"Take control of enemy warjack w/ func. Cortex. Can make Full Adv & 1 normal  Atk. If target is bonded, win contested Will roll vs its Controller or fail."
Earthquake,3,10,5,-,NO,YES,Characters in the AOE are knocked down.
Earth's Cradle,1,SELF,-,-,YES,NO,"The Spellcaster gains cover, does not suffer blast damage, and does not block LOS.  Earth's Cradle expires if the character moves, is placed. Or is engaged."
Earthsplitter,4,10,3,14,NO,YES,Characters hit suffer a POW 14 fire damage roll.  The AOE is a cloud effect that remains in play for one round.  Characters entering or ending their activation in the AOE suffer an unboostable POW 14 fire damage roll.
Electrical Blast,3,8,3,13,NO,YES,"Electrical blast causes electrical damage.  Steamjacks damaged by Electrical Blast suffer Disruption. (steamjacks suffering Disruption loose all their focus , cannot be allocated focus and cannot channel spells for one round.)"
Electrify,2,6,-,-,YES,NO,"If the target is hit with a melee attack, after the attack it resolved,the attacker is pushed 3” directly away from the affected character and suffers an unstoppable POW 14 electrical damage roll, then Electrify expires."
Electrodynamics,4,SELF,CTRL,-,YES,NO,"While in CTRL friendly chars gain +2 to Elec. dmg rolls, and friendly construct chars' melee atk infict adtl. D3 Elec. dmg"
Electrical Charge,1,SELF,-,-,NO,NO,Caster's next melee attack this turn does +1 Elec dmg and steamjacks suffer Disruption.
Elemental Protection,4,SELF,CTRL,-,YES,NO,"While in caster's control area, friendly characters gain Immunity: Cold, Immunity: Electricity, and Immunity: Fire."
Eliminator,3,8,3,13,NO,YES,"Immediately after this attack is resolved, the spellcaster can advance up to 2” for each enemy incapacitated by the attack."
Entangle,1,8,-,-,NO,YES,The target character suffers -1 SPD and cannot run or charge for one round.
Enthrall Spirit,3,8,-,-,YES,YES,"Caster makes a contested Willpower roll vs. target incorporeal undead enemy hit. If caster loses, nothng happens. If caster wins, she gains control of target as long as upkeep is paid."
Entropic Force,3,SELF,-,-,YES,NO,"While in CTRL area, other characters lose Tough and cannot regain vitality."
Eruption of Life,3,10,-,13,NO,YES,"If spell destroyes a living or undead enemy, center a 3"" AOE on destroyed char. The AOE is forest terrain that remains in play for one round. Enemies in the AOE are hit and suffer an unboostable POW 13 damage roll."
Exorcism,2,SELF,CTRL,-,YES,NO,Characters in the spellcaster's control area lose Incorporeal.
Extinguisher,2,SELF,CTRL,-,NO,NO,Continuous fire effects in the spellcaster's control area immediately expire.
Explosivo,1,6,-,-,NO,NO,Target Char's next normal ranged non-spray attack becomes magical. If it was AOE - it becomes AOE 3. Chars hit by AOE suffer damage but no other effects. Expires after affected Chars next ranged attack
Eyes of Menoth,3,SELF,CTRL,-,YES,NO,"While in spellcaster's control area, friendly Menite char and jacks gain +1 to attack & damage rolls."
Eyes of Truth,2,CTRL,-,-,YES,NO,"The character's PER rolls are boosted.  Additionally, the target number for Deception rolls against the character are increased by 3."
Fail Safe,3,6,-,-,YES,NO,Target steamjack gains +2 ARM and does not suffer the effects of crippled systems.
Fair Winds,1,SELF,-,-,NO,NO,The Spellcaster gains +1SPD this turn.
Feast of Worms,4,1,4,12,YES,YES,"While in AOE, enemies suffer -2 ARM. The AOE remains in play as long as upkeep is paid."
Fire For Effect,3,6,-,-,YES,NO,Boost the attack and damage rolls of tar char's ranged attack during each of his turns
Fire Group,2,SELF,CTRL,-,NO,NO,"While in the spellcaster's control area, his weapons and the ranged weapons of steamjacks under his control gain +2 RNG.  Fire Group lasts for one round."
Fire Starter,1,8,-,-,NO,*,"The spellcaster starts a small fire withing the range of the spell and in LOS.  This spell can be used to target an enemy, in which case it requires an attack roll.  If the enemy is hit, he suffers the Fire continuous effect."
Flames of Wrath,1,6,-,-,NO,NO,"When target character incapacitates an enemy character with a melee attack, enemy characters within 1” of the incapacitated character suffer the Fire continuous effect.  Flames of Wrath last for one rond."
Flare,3,S,CTRL,-,NO,NO,Enemies in the spellcaster's control area suffering the Fire continuous effect immediately suffer an additional unstoppable POW 12 fire damage roll.  This spell can be cast only once per turn.
Flesh Eater,3,10,-,13,NO,YES,"When a living character is destroyed by Flesh Eater, the spellcaster or a living warbeast in his battlegroup that is in his control area regains d3 vitality points."
Fog of War,3,SELF,CTRL,-,YES,NO,Characters gain Concealment while in the spellcaster's control area.
Force Bolt,2,10,-,10,NO,YES,"An enemy hit by Force Bolt can be pushed d3˝ directly toward or away from the spellcaster. Choose the direction before rolling the distance. On a critical hit, the enemy is knocked down after being pushed."
Force Field,3,SELF,CTRL,-,YES,NO,"The spelcaster does not suffer collateral or blast damage and cannot be knocked down.  When an enemy AOE deviates from a point in the spellcaster's control area, after the deviation distance is rolled the spellcaster's player chooses the deviation direction."
Force Hammer,4,10,-,12,NO,YES,"If Force Hammer hits an non-incorporeal target, instead of suffering a normal damage roll, that target is slammed d6” directly away from the spell's point of origin regardless of it's base size and suffers a POW 12 damage roll.  Collateral damage for this slam is POW 12."
Force of Faith,4,SELF,CTRL,-,NO,NO,Enemies currently within the spellcaster's control area are immediately pushed d6” directly away from the spellcaster in the order he chooses.
Forced Evolution,2,6,-,-,YES,NO,Target friendly living warbeast gains +2 STR and DEF.
Fortify,2,6,-,-,YES,NO,"Target steamjack/warbeast in the spellcaster's control gains +2 Arm.  The affected steamjack/warbeast and any friendly character B2B with it cannot be knocked down, pushed, or slammed."
Fortune,2,6,-,-,YES,NO,Target friendly character can reroll his missed attack rolls. Each attack roll can be rerolled only once as a result of Fortune.
Foxhole,2,CTRL,5,-,YES,NO,"Place a 5” AOE anywhere completely in the spellcaster's control area.  Characters completely in the AOE have cover and do not suffer blast damage.  When drawing LOS to a character not completely within the AOE, ignore interviening characters completely within the AOE."
Freezing Grip,4,8,-,-,NO,YES,Target character  hit becomes stationary for one round unless the target has Immunity: Cold.
Freezing Mist,4,SELF,*,-,NO,NO,"While in the spellcaster's control area, enemy characters without Immunity: Cold suffer -2 SPD and DEF.  Freezing Mist lasts for one round."
Frostbite,2,SP 8,-,12,NO,YES,Frostbite causes cold damage.
Frozen Ground,3,SELF,-,-,NO,NO,Enemies that move more than 2” and end their movement in the spellcaster's control area are knocked down at the end of their movement.  Frozen Ground lasts for one round.
Fuel the Flames,3,SELF,CTRL,-,YES,NO,Fire continuous effects in the spellcaster's control area never expire.
Full Throttle,3,SELF,CTRL,-,NO,NO,"Steamjacks under the spellcaster's control and beginning their turn in his control area can run, charge, or make slam or trample power attacks without being forced or driven that activation.The Spellcaster and steamjacks under the spellcasters control and in his control area gain boosted melee attack rolls. Full Throttle last for one turn."
Gallows,3,10,-,13,NO,YES,"When an enemy is hit by this attack, he can be pushed d6"" directly toward Gallows' point of origin."
Ghost Shroud,3,SELF,-,-,YES,NO,"Caster gains +2 DEF and Poltergeist, (When missed by enemy atack, after attack is resolved the caster can choose to push attacker d3"" away.)"
Ghost Walk,3,6,-,-,NO,NO,Target character gains Ghostly for one turn. (A character with Ghostly can advance through terrain and obstacles without penalty and can advance through obstructions if he has enough movement to move completely past them. An affected character cannot be targeted by free strikes.)
Grave Whispers,1,SELF,-,-,YES,NO,Can Speak to the dead. Full Rules p. 69 Urban Adventures/p. 246 Unleashed.
Grind,3,10,-,14,NO,YES,"When a steamjack is hit by Grind, it suffers 1 damage to it's first available movement system box."
Ground Zero,3,SELF,5,13,NO,NO,"Center a 5"" AOE on caster. All other chars in AOE are hit and suffer POW 13 damage roll. Chars Damaged are pushed d6"" Directly away  from caster in order of casters choosing"
Guided Blade,1,6,-,-,NO,NO,Target friendly character gains +1 on this melee attack rolls and his melee weapon gains Magical Weapon.  Guided Blade lasts for one round.
Guided Fire,3,SELF,CTRL,-,NO,NO,"While in the spellcaster's control area, characters in his battlegroup gain boosted ranged attack rolls. Guided Fire lasts for one round."
Hallowed Avenger,2,6,-,-,YES,NO,"When an enemy attack incapacitates/destroys 1 or more friendly char in 5"" of target jack in castor's battlegroup, after attack is resolved the affected jack can charge and enemy char. Then it expires."
Hallowed Guardian,2,6,-,-,YES,NO,"When an enemy attack incapacitates or destroys one or more friendly characters within 5˝ of target warbeast in the spellcaster's battlegroup, after the attack is resolved the affected warbeast can charge an enemy. Hallowed Guardian then expires."
Hand of Fate,2,6,-,-,YES,NO,Target character gains an additional die on attack and damage rolls.  Discard the lowest die of each roll.
Harvest,4,SELF,CTRL,-,YES,NO,"When a living or undead enemy character is destroyed in the spellcaster's control area, the spellcaster can gain 1 fury point. The spellcaster's fury point total cannot exceed his FURY as a result of Harvest."
Heal,4,*,-,-,NO,NO,"Friendly incapacitated character in B2B with the spellcaster is no longer incapacitated and regains 1 vitality in each aspect. The character no longer suffers from his most recent roll on the Injury table (p.217).  The target character becomes knocked down.  Each time a character is targeted by this spell make d6 roll on the Price of Healing table (p.240), adding +1 to the roll each time the character has been targeted by this spell after the first time."
Heightened Reflexes,2,6,-,-,YES,NO,Target character cannot be knocked down or made stationary
Hellmouth,4,8,*,-,NO,YES,"If this attack misses, nothing happens. If it hits, before making the damage roll, push characters within 3˝ of the character hit 3˝ directly toward the character hit in the order you choose, then center a 3˝ AOE on the character hit. Characters in the AOE suffer a POW 12 damage roll."
Hellfire,3,10,-,14,NO,YES,Character hit must make willpower roll against Terror [Caster Willpower +2]
Hex Blast,3,10,3,13,NO,YES,Upkeep spells and Animi on the character directly hit by Hex Blast immediately expire.
Hex Hammer,3,SELF,CTRL,-,YES,NO,"When an enemy char casts a spell or uses an animus while in the castors control area, after the spell or animus has been cast or used the enemy suffers d3 damage."
Hidden Path,1,SELF,-,-,YES,NO,The target character's path is magically obscured whether he is mounted or on foot. The target number for Tracking rolls to follow the target character's trail is increased by 3.
Hoarfrost,3,8,3,14,NO,YES,"Hoarfrost causes Cold damage.  On a critical hit, characters hit becomes stationary for one round unless they have Immunity: Cold."
Holy Ward,2,6,-,-,YES,NO,Target friendly character gains +2 DEF and cannot be targeted by enemy spells or animi.
Hot Shot,2,6,-,-,YES,NO,Tar Friendly Char in caster's battle group gains boosted ranged atk dmg rolls
Howling Flames,2,SP 8,-,10,NO,YES,"Howling Fames causes fire damage.  On a critical hit, the character hit suffers Fire continuous effect."
Hunter's Mark,4,10,-,-,NO,NO,Friendly characters can charge or make a slam power attack against an enemy hit by Hunter's Mark without being forced or spending focus. A character charging an enemy hit by Hunter's Mark gains +2˝ movement. Hunter's Mark lasts for one round.
Hymm of Battle,2,6,-,-,NO,NO,Target steamjack gains +2 on attack and damage rolls.  Hymn of Battle lasts for one round.
Hymm of Passage,2,6,-,-,NO,NO,Target steamjack cannot be targeted by non-magial ranged attacks.  Hymn of Passage lasts for one round.
Hymm of Shielding,4,SELF,CTRL,-,NO,NO,"While in this character's control area, Friendly characters cannot be targeted by enemy spells.  Hymn of Shielding lasts for one round."
Ice Bolt,2,10,-,12,NO,YES,"Ice Bolt causes cold damage.  On a critical hit, the character hit becomes stationary unless they have Immunity: Cold."
Ice Shield,1,6,-,-,YES,NO,Target gains +2 ARM.  Ice Shield immediately expires if the effected character moves or is damaged.
Icy Grip,2,8,-,-,YES,YES,Target character without Immunity: Cold suffer -2DEF and cannot run or make power attacks.
Ignite,2,6,-,-,YES,NO,Target character gains +2 on melee attack damage rolls.  The effected character gains Critical Fire on his normal melee attacks.
Immolation,2,8,-,12,NO,YES,"Immolation causes fire damage.  On a critical hit, the character hit suffers the Fire continuous effect."
Incite,4,SELF,-,-,NO,NO,Characters in the spellcaster's battlegroup gain +2 to attack and damage rolls against enemies in the spellcaster's command range. Incite lasts for one turn.
Infernal Machine,2,6,-,-,YES,NO,Target steamjack in the spellcaster's battlegroup gains Terror [14] against enemy characters and +2 MAT and SPD.
Inferno,3,10,3,12,NO,YES,all characters hit suffer a POW 12 fire damage roll.  The AOE remains in play for one round.  Characters entering or ending their turns in the AOE suffer an unstoppable POW 12 fire damage roll.
Influence,1,10,-,-,NO,YES,The spellcaster make a contested Willpower roll against a living character hit by this sell.  If the caster wins the player takes control of the character hit.  The character immediately makes one normal melee attack then Influence expires.
Inhospitable Ground,3,SELF,CTRL,-,NO,NO,"While in the spellcaster's control area, other characters treat open ground as difficult terrain.  Inhospitable Ground lasts for one round."
Inviolable Resolve,2,6,-,-,YES,NO,Target friendly character gains +2 ARM and automatically passes Willpower rolls to resist Terror.
