Spell,Cost,RNG,AOE,POW,UP,OFF,Notes
Iron Aggression,3,6,-,-,YES,NO,"Target steamjack can run, charge and make slam and trample power attacks without being forced or driven and gains boosted melee attack rolls."
Iron Flesh,2,6,-,-,YES,NO,Target friendly living character gains +3 DEF but suffers -1 SPD.
Jackhammer,1,6,-,-,NO,NO,The target friendly steamjack can immediately make one melee attack.
Jaws of Death,2,SELF,-,-,YES,NO,"In addition to his normal attacks, the spellcaster can make one unarmed melee attack with his fanged maw during each of his turns. This POW 3 attack uses the Unarmed Combat skill. If the spellcaster destroys a living character with this attack, he can consume it to regain d3 vitality points."
Jump Start,1,SELF,CTRL,-,NO,NO,The spellcaster and characters in his battlegroup area can immediately turn to face any direction. Affected characters in battlegroup that are stationary or knocked down are no longer stationary and stand up.
Killing Ground,3,SELF,CTRL,-,NO,NO,Friendly characters beginning a charge in the spellcaster's control area gain Pathfinder (p. 164). Warbeasts in the spellcaster's battlegroup beginning their turns in his control area can charge or make slam power attacks against enemies without being forced. Killing Ground lasts for one round.
Killing Tide,3,SELF,-,-,YES,NO,"The spellcaster gains Berserk. (When a character with Berserk incapacitates or destroys one or more characters with a melee attack during his turn, immediately after the attack is resolved he must make one additional melee attack against another character in his melee range.)"
Lamentation,3,SELF,CTRL,-,YES,NO,"While in the spellcaster's control area. Enemies pay double the fatigue, focus or fury point cost to cast or upkeep spells."
Leash,2,6,-,-,YES,NO,"Immediately after the spellcaster ends his normal movement, target warbeast in his battlegroup can advance up to 3˝ toward him."
Light in the Darkness,1,SELF,CTRL,-,YES,NO,The area around the spellcaster glows with enough light for anyone in his control area to see in Darkness. (p. 225)
Lightning Shroud,2,6,-,-,YES,NO,Target warjack in this character's battlegroup gains +2 STR and its melee weapons gain Electro Leap.
Lightning Storm,3,8,3,10,NO,YES,Characters hit suffer a POW 10 electrical damage roll. The AOE remains in play for one round. Characters entering or ending their turns in the AOE suffer a POW 10 electrical damage roll.
Lightning Tendrils,3,6,-,-,YES,NO,"The target friendly character gains Immunity: Electricity, and the character's melee weapons gain Reach and Electro Leap."
Lightning Tongue,3,10,-,13,NO,YES,"On a hit, you can have lightning arc to the nearest character within 4˝ of the character hit. The character the lightning arcs to suffers an unboostable POW 10 electrical damage roll."
Locomotion,1 to 3,6,-,-,NO,NO,The spellcaster spends up to 3 focus points to cast Locomotion.  Target steamjack immediately advances 1” for every focus point spent.  A steamjack can be targeted by Locomotion only once per round.
Magnetic Hold,2,8,-,-,YES,YES,Target char suffers -2 SPD & DEF. Friend Construct Chars charging affected char gain +2 mov.
Marked for Death,2,8,-,-,YES,YES,"Target enemy suffers –2 DEF, loses incorporeal and stealth, and cannot gain those abilities while affected by Marked for Death. Friendly characters ignore LOS when targeting an affected character."
Marsh Gas,4,8,4,12,NO,YES,Characters hit suffer POW 12 fire damage rolls and Fire continuous effect.
Medicate,2,6,-,-,NO,NO,Target living warbeast regains d3 vitality points.
Miasma,3,SELF,4,-,NO,NO,"Center 4"" AOE on caster. Other chars in AOE take d3 corrosion damage and Corrosion continuous effect. Remains in play for 1 round."
Mindlock,4,8,-,-,YES,YES,Each time a char affected by this spell cast a spell he must make a contested Willpower roll vs spellcaster. Win they cast as normal. Fail they do not cast and lose the quick action.
Mirage,3,6,-,-,YES,NO,"During the spellcaster's Control Phase after upkeep has been paid, the target friendly character's controller can place him anywhere completely within 2” of his current location."
Molten Metal,2,10,-,-,NO,YES,Target 'jack suffers 1 point of fire damage to each column on its damage grid
Mist Shroud,1,6,-,-,NO,NO,Target character gains concealment for one round.
Mist Sight,2,6,-,-,YES,NO,Target character ignores cloud effects when determining LOS.
Mobility,2,SELF,CTRL,-,NO,NO,Characters in the spellcaster's battlegroup currently in his control area gain +2 SPD and Pathfinder.
Mortality,3,10,-,-,NO,YES,Target enemy suffers -2 DEF and ARM and cannot regain vitality. Mortality lasts for one round.
Mudfoot,2,10,-,-,NO,YES,Target character cannot run or charge and treats open terrain as rough terrain for one round.
Murder of Crows,3,CTRL,5,-,YES,NO,"Place a 5˝ AOE cloud effect anywhere completely within the spellcaster's control area. Characters that enter or end their activations in the AOE suffer an unboostable POW 8 damage roll unless they are part of the spellcaster's battlegroup. This is not an offensive spell, and no damage is dealt when the AOE is placed."
Muzzle,2,10,-,12,NO,YES,A warbeast damaged by Muzzle cannot advance toward the spellcaster for one round.
Mystic Wards,3,SELF,CTRL,-,NO,NO,"Enemy animi and enemy upkeep spells on characters in the spellcaster's battlegroup that are in his control area immediately expire. While within 5˝ of a character in the spellcaster's battlegroup that is in his control area, enemies cannot cast, channel, or upkeep spells. Mystic Ward lasts for one round."
Obliteration,4,10,4,15,NO,YES,The force of the attack blasts apart the earth itself.
Occultation,2,6,-,-,YES,NO,Target character gains stealth and +3 on his Sneak rolls.
Overmind,4,SELF,CTRL,-,NO,NO,"The spellcaster immediately makes a contested Willpower roll against all living enemies in his control area.  Roll once for the spellcaster.  If the spellcaster beats the enemy's Willpower roll, he can cause that character to advance up to 3” and perform one non-spell, non-feat quick action.  If the enemy beats or ties the spellcaster's roll, he is not affected. This spell can be cast only once per round."
Parasite,3,8,-,-,YES,YES,"Target character suffers -3 ARM, and the spellcaster gains +1 ARM."
Perdition,2,10,-,10,NO,YES,"When Perdition damages an enemy, one character in the spellcaster's battlegroup that is currently in her control area can make a full advance towards the nearest enemy. A character can only advance from Perdition once per turn."
Phantasm,2,6,-,-,YES,NO,"When target friendly character is targeted by a ranged attack, the Effective range of the attack is reduced by 30' (5"")."
Pig Pen,2,SELF,-,-,YES,NO,"While within 3"" of the spellcaster, enemies treat open terrain as rough terrain."
Polarity Shield,2,6,-,-,YES,NO,Target character cannot be targeted by a charge made by a character in his front arc.
Positive Charge,2,6,-,-,NO,NO,"Target steamjack gains +2 on melee attack and melee damage rolls.  While within 3” of the effected warjack, friendly characters gain +2 on melee attack and melee damage rolls.  Positive Charge lasts for one round."
Powder Keg,4,10,5,14,NO,YES,"On Critical hit, characters hit lose one attack during their next activation."
Power Booster,1,5,-,-,NO,NO,"If the target steamjack the spellcaster controls has no focus points, it gains 1 focus point. If the steamjack is Disrupted, it is no longer Disrupted."
Prayer of Guidance,3,6,-,-,NO,NO,Target character gains 2 additional dice on his next skill roll.  Discard the lowest 2 dice in the roll.  Prayer of Guidance can be cast only once per day.
Protection from Cold,1,6,-,-,YES,NO,Target character gains Immunity: Cold.
Protection from Corrosion,1,6,-,-,YES,NO,Target character gains Immunity: Corrosion
Protection from Electricity,1,6,-,-,YES,NO,"Target character gains Immunity: Electricity, and cannot be Disrupted."
Protection from Fire,1,6,-,-,YES,NO,Target character gains Immunity: Fire.
Protector's Mark,3,8,-,-,YES,YEs,"When spellcaster is directly hit by an enemy attack, if the char affected by this spell is within 3"" of him, the castor can cause the affected char to be directly hit instead. Then spell expires."
Purification,3,SELF,CTRL,-,NO,NO,"Continuous effects, Animus, and upkeep spells in the spellcaster's control area immediately expire."
Quagmire,2,6,-,-,YES,NO,"While in B2B with target friendly character, enemies suffer -2 DEF and cannot advance except to change facing."
Quickened,4,SELF,-,-,YES,NO,"The spellcaster can make one attack or quick action at the start of any other character's turn, then Quickened expires."
Raging Winds,4,SELF,CTRL,-,NO,NO,"While in the spellcaster's control area, enemies suffer -2 DEF.  Enemies beginning their turn in the spellcaster's control area cannot run or charge. Raging wind lasts for one round."
Raise Dead,4,SELF,CTRL,-,YES,NO,"When a living character is destroyed in the spellcaster's control area, the spellcaster can immediately make a full advance with the destroyed character followed by a normal melee attack, then remove the destroyed character from the table. During these attacks, the destroyed character is considered to be undead."
Rampager,3,10,-,-,NO,YES,"The spellcaster takes control of target enemy warbeast. He can make one full advance with the warbeast and then make one normal attack with it, then Rampager expires. While the warbeast is affected by Rampager, it cannot be forced and cannot use its animus. Rampager can be cast only once per turn."
Rapid Growth,2,CTRL,4,-,YES,NO,Place the AOE completely in this character's control area. The AOE is a forest that remains in play as long as the upkeep is paid.
Ravager,2,6,-,-,NO,NO,"Target character in the spellcaster's battlegroup gains Beserk for one turn. While affected by Ravager, a character cannon make chain attacks. (When a char with Beserk incapacitates a target with a melee attack, immediately after the attack is resolved, the char must make an additional attack against another target in melee range.)"
Rawhide,2,6,-,-,YES,NO,"Target warbeast gains +2 ARM. The affected warbeast and friendly characters B2B with it cannot be knocked down, pushed, or slammed."
Razor Wall,2,CTRL,WALL,-,YES,NO,"Place a wall template (p. 352) anywhere completely in the caster's CTRL where it does not touch a chars base, an obstruction, or an obstacle. When a char enters or ends actv. in wall,  he suffers d3 dmg"
Razor Wind,2,10,-,12,NO,YES,A blade of wind slices through the target.
Realignment,4,SELF,CTRL,-,NO,NO,"While in caster's CTRL, whorshipers of Cyriss can reroll failed atk and skill rolls. Can only reroll once from Realignment. Lasts 1 rnd. Once/ encounter "
Reconstruction,4,SELF,CTRL,-,NO,NO,Remove d6 dmg from each construct char in caster's CTRL.
Redline,2,6,-,-,YES,NO,"Target friendly steamjack gains +2 STR and SPD, and can run, charge, power attack slams or tramples without spending focus or being driven. When the steamjack ends its turn it suffers d3 damage points."
Refuge,2,6,-,-,YES,NO,"When the target character hits another character with an attack during his turn, immediately after his turn ends the character effected by this spell can make a full advance.  The character cannot be targeted by free strikes during this movement."
Restoration,2,6,-,-,YES,NO,"Target friendly living character gains +2 ARM. When this spell's upkeep is paid, the spellcaster regains d3 vitality if he is within 3˝ of another character affected by this spell."
Return Fire,1,6,-,-,NO,NO,"When target character is targeted by an enemy ranged attack, after the attack is resolved the affected character can make one normal ranged or melee attack, then Return Fire expires.  Return Fire lasts for one round."
Rift,3,8,4,13,NO,YES,The AOE is rough terrain and remains in play for one round.
Righteous Flames,2,6,-,-,NO,NO,"The character gains Immunity: Fire.  When a character without Immunity : Fire ends its movement within 2” of the affected character, the character without Immunity: Fire  suffers the Fire continuous effect. Righteous Flamed lasts for one round."
Rime,2,6,-,-,NO,NO,"The character gains Immunity: Cold.  When a character without Immunity: Cold ends its movement within 2” of the affected character, the character without Immunity: Cold  becomes Stationary until the end of its next turn. Rime lasts for one round."
Rock Hammer,3,10,3,14,NO,YES,"On a critical hit, characters hit are knocked down."
Rock Wall,2,CTRL,WALL,-,YES,NO,"Place a wall template (p. 352) anywhere completely in the spellcaster's control area where it does not touch a character's base, an obstruction, or an obstacle   The wall is a linear obstacle that provides cover."
Roots of the Earth,2,6,-,-,NO,NO,"Target friendly character gains +3 ARM, cannot be knocked down, and cannot move or be placed. Roots of the Earth lasts for one round."
Rune Shot: Accuracy,1,SELF,-,-,NO,NO,The character's next rune shot ranged attack this round is boosted.
Rune Shot: Black Penny,1,SELF,-,-,NO,NO,This character's next rune shot ranged attack roll this turn ignores the firing into melee penalty.
Rune Shot: Brutal,1,SELF,-,-,NO,NO,The spellcaster's next rune shot ranged attack gains boosted ranged attack damage roll against the target directly hit.
Rune Shot: Detonator,3,SELF,*,-,NO,NO,"If the spellacaster directly hits a target with its next rune shot ranged attack this turn, center a 4” AOE on the target.  Characters other than the original target within the AOE suffer an unstoppable damage roll with a POW equal to the POW of the ranged weapon."
Rune Shot: Disruption,2,SELF,-,-,NO,NO,"If the spellcaster's next rune shot ranged attack this turn hits a steamjack, the steamjack suffers Disruption. (A steamjack suffering from Disruption loses its focs points and cannot be allocated focus or channel spells for one round)"
Rune Shot: Earth Shaker,3,SELF,*,-,NO,NO,"If the character directly hits a target with its next rune shot ranged attack, the attack becomes AOE 5 and POW 10.  Characters hit by the AOE suffer no damage but are knocked down."
Rune Shot: Fire Beacon,2,SELF,*,-,NO,NO,"The spellcaster's next rune shot ranged attack this turn becomes AOE 5 POW –.  While the character is within the AOE, he looses Camouflage and Stealth, and other characters can ignore cloud effects when dertemingin LOS to him.  The AOE lasts for one round."
Rune Shot: Freeze Fire,4,SELF,-,-,NO,NO,"If the spellcastrer's next rune shot ranged attack this turn hits, the target directly hit becomes Stationary for one round."
Rune Shot: Heart Stopper,4,SELF,-,-,NO,NO,Damage exceeding the ARM of the character hit by the spellcaster's next rune shot ranged attack this turn is doubled.  A character disabled by this attack cannot make a Tough roll.
Rune Shot: Iron Rot,1,SELF,-,-,NO,NO,"If the spellcaster's next rune shot ranged attack directly hits a steamjack, in addition to any other damage and effects from the attack, the steamjack also suffers d3 damage points."
Rune Shot: Molten Shot,1,SELF,-,-,NO,NO,"If the spellcaster's next rune shot ranged attack directly hits, the target directly hit suffers the Fire continuous effect."
Rune Shot: Momentum,4,SELF,-,-,NO,NO,"If the Spellcaster hits with his next rune shot ranged attack this turn, the character hit is slammed directly away from the spellcaster regardless of base size and suffers a damage roll with POW equal to the ranged weapon.  Collateral damage from this slam is equal to the POW of the ranged weapon."
Rune Shot: Piercer,2,SELF,-,-,NO,NO,The spellcaster's next rune shot ranged attack this turn ignores spell effects that add to the targets's ARM & DEF.
Rune Shot: Phantom Seeker,3,SELF,-,-,NO,NO,The spellcaster's next rune shot ranged attack this turn ignores LOS when making ranged attacks.  The attack also ignores Concealment and Cover.
Rune Shot: Shadow Fire,2,SELF,-,-,NO,NO,"If the spellcaster's hits a target with his next rune shot ranged attack this turn, friendly characters can ignore the target when determining LOS and making ranged attacks for one round."
Rune Shot: Silencer,1,SELF,-,-,NO,NO,"the spellcaster's next rune shot ranged attack is completely silent, and gives no sign of being fired.  Neither the firing of the weapon nor the impact of the round make any sound.  Any immediate sound from the target that is hit, such as a scream, shout, or the fall of the body is silenced."
Rune Shot: Spell Cracker,3,SELF,-,-,NO,NO,"If the spellcaster directly hits with his next rune shot ranged attack this turn, upkeep spells and animi on the target hit immediately expire."
Rune Shot: Spontaneous Combustion,1,SELF,*,-,NO,NO,"if the spellcaster destrys a living character with his next rune shot ranged attack, Place a 3” AOE cloud effect on the destroyed character, then remove the destroyed character from the table.  The AOE remains in play for one round."
Rune Shot: Thunderbolt,1,SELF,-,-,NO,NO,"If you directly hit with his next rune shot this turn, target pushed d3”.  Critical: Knock down."
Rune Shot: Trick Shot,2,SELF,-,-,NO,NO,"If the spellcaster directly hits a target with his next rune shot ranged attack this turn, choose a character within 4” of the character that was hit.  After the attack is resolved, the spellcaster immediately makes a ranged attack roll against the chosen character.  If the character is hit he suffers a damage roll equal to the POW of the ranged weapon but does not suffer any other rune shot spell effects of rune shot spells cast on the original attack.  The point of origin of this damage is the character originally hit."
Sanguine Blessing,3,SELF,CTRL,-,YES,NO,"When a friendly character in the spellcaster's control area would suffer a damage roll, the spellcastrer can suffer the damage roll instead.  Decide whether the spellcaster suffers the damage before the roll is made."
Sea of Fire,4,SELF,*,-,NO,NO,Enemy characters without Immunity: Fire within 5” of the spellcaster suffer the Fire continuous effect.
Sea Legs,2,6,-,-,YES,NO,Target friendly character cannont be knocked down.
Shadow Pack,3,SELF,CTRL,-,YES,NO,Characters in the spellcaster's battlegroup gain stealth while in her control area.
Shatter Storm,2,6,-,-,YES,NO,"When target character directly hits and destroys an enemy character with a ranged or melee attack, center a 3” AOE on the destroyed character, then remove the destroyed character from the table.  Characters in the AOE suffer a POW 8 blast damage roll."
Shield of Faith,2,6,-,-,YES,NO,Target character gains +2 ARM against magic attacks and Infernal and Undead characters
Shock Bolt,2,8,-,12,NO,YEs,"Causes electrical damage. On crit, slam non-incorporeal char d3"" directly away. Collateral dam is POW 12."
Shock Wave,4,SELF,*,13,NO,NO,Characters within 5” of the spellcaster suffer a POW 13 damage roll.  Each enemy damaged by Shock Wave is pushed d6” directly away from the spellcaster in the order you choose.
Short Out,1,8,-,-,NO,YES,Mechanika devices in the possession of the target character hit immediately deactivate.  Sort out has not effect on steamjacks or Mechankia armor.
Shrapnel Swarm,3,8,*,13,NO,YES,"On a direct hit against an enemy center a 4"" AOE on char hit. After resolving dmg roll, characters in AOE are Hit and suffer 1 dmg"
Snipe,2,6,-,-,YES,NO,Target character's ranged weapons gain +4 RNG.
Solid Ground,2,SELF,CTRL,-,YES,NO,"While in the spellcaster's control area, friendly characters cannot be knocked down and do not suffer blast damage."
Solovin's Boon,1,SELF,-,-,YES,NO,The spellcaster can reroll failed Medicine skill rolls.  Each failed roll can be rerolled only once due to Solovin's Boon.
Soothing Song,1,SELF,CTRL,-,NO,NO,Remove up to 1 fury point from each friendly living warbeast in the spellcaster's battlegroup that is in his control area. Soothing Song can be cast only once per turn.
Soul Mark,1,8,-,-,YES,YES,"Caster can automatically sense target while within ARC X 50 Feet. If Caster can gain Soul Tokens, can claim Soul Tokens regardless of proximity."
Soul Slave,2,6,-,-,YES,NO,Target warbeast in the spellcaster's battlegroup automatically passes threshold checks. The spellcaster can channel spells through the affected warbeast.
Spirit Fang,2,10,-,12,NO,YES,A character damaged by Spirit Fang suffers –2 SPD and DEF for one round.
Spirit Lash,2,10,-,10,NO,YES,"A character damaged by Spirit Lash cannot ru, charge, or be placed for one round."
Star-Crossed,3,SELF,CTRL,-,NO,NO,"While in CTRL area, enemies gain additional die on attack rolls. Discard highest die of each roll. Star-Crossed lasts for one round."
Star Fire,4,SELF,CTRL,-,NO,NO,Enemies that end their movement closer to the spellcaster than they began suffer an unstoppable POW 12 damage roll.  Star Fire lasts for one round.
Staying Winter's Hand,2,SELF,CTRL,-,YES,NO,"While in the spellcaster's control area, friendly characters gain +2 ARM against cold damage.  Additionally, while affected by this spell, characters never suffer the effects of exposure to cold weather and are kept warm."
Stone Spray,3,SP8,-,12,NO,YES,"On a critical hit, the character hit is knocked down."
Stone Stance,1,6,-,-,NO,NO,"Target character cannot be knocked down, pushed, or slammed for one round."
Stone Strength,2,6,-,-,YES,NO,Target character gains +1 STR and ARM.
Storm Tossed,1,8,-,-,NO,YES,"When a enemy character is hit by Storm Tossed, he can be pushed 3” directly away from the spells point of origin."
Storm Wall,3,SELF,CTRL,-,NO,NO,"While in the spellcaster's control area, enemies suffer –5 RNG on their ranged attacks. When an enemy AOE ranged attack deviates from a point in the spellcaster's control area, the spellcaster's player chooses the deviation direction after the deviation distance is rolled. Storm Wall lasts for one round."
Stranglehold,2,10,-,11,NO,YES,A character damaged by Stranglehold forfeits either its movment or action next turn.
Stygian Abyss,3,10,-,12,NO,YES,"On Critical causes  Shadow Bind ( -3 DEF, and for 1 round can't advance except to change facing)."
Summong Vortex,2,SELF,-,-,NO,NO,Center a 3˝ AOE cloud effect on the spellcaster. Enemies suffer –2 to attack rolls while in the AOE. Summon Vortex lasts for one round.
Sunburst,3,10,3,13,NO,YES,Blast damage from this spell only affects enemies.
Sunder Spirit,2,10,-,12,NO,YES,A warbeast damaged by Sunder Spirit loses its animus for one round.
Sunhammer,3,SELF,CTRL,-,YES,NO,Enemy warbeasts and warjacks that advance more than 1˝ and end their normal movement in the spellcaster's control area suffer d3 damage points.
Sure Foot,3,6,-,-,YES,NO,"Target character gains +2 DEF and cannot be knocked down. While within 3˝ of the affected character, friendly characters also gain +2 DEF and cannot be knocked down."
Superiority,3,6,-,-,YES,NO,"Target friendly steamjack gains +2 SPD, MAT, and DEF and cannot be knocked down."
Swarm,2,SELF,-,-,NO,NO,Gain concealment. Living enemies suffer –2 to attack rolls while within 2˝  of this character. Swarm lasts for one round.
Synergy,2,SELF,CTRL,-,YES,NO,"While in caster's CTRL, chars in caster's battlegroup gain a cumulative +1 MAT, and melee dmg for each other char in caster's battlegroup and CTRL that hit with a melee attack this turn"
Telekinesis,2,8,-,-,NO,*,"Place target character completely within 2” of his current location.  When Telekinesis targets an enemy character, it is an offensive spell and requires a magic attack roll. A character can be affected by Telekinesis only once per round."
Telgesh Mark,2,6,-,-,YES,NO,While in Caster's  CTRL area caster can channel spells through target friendly character. 
Temper Metal,2,6,-,-,YES,NO,Target friendly steamjack gains +2ARM and is immune to continuous effects.
Tempest,4,8,4,12,NO,YES,Characters hit by Tempest are knocked down and suffer a POW 12 damage roll.
Tide of Steel,4,SELF,CTRL,-,NO,NO,The spellcaster and steamjacks currently under his control and in his control area can immediately advance 3”.
Tornado,4,10,-,13,NO,YES,"Instead of suffering a normal damage roll, non-incorporeal characters hit by Tornado are thrown d6” directly away from the spell's point of origin regardless of its base size and suffers a POW 13 damage roll. Collateral damage from this throw is POW 13."
Total Spectrum,1,SELF,-,-,YES,NO,Caster treats all light conditions as bright light.
Transference,2,SELF,CTRL,-,YES,NO,The spellcaster can allow other friendly characters in his control area to spend focus to boost melee attack and melee damage rolls this turn at a cost of 1 focus per boost.
Triage,2,B2B,-,-,NO,NO,The spellcaster must be in B2B with an incapacitated character to cast this spell.  When this spell is cast the incapacitated character is immediately stabilized.
True Path,3,SELF,CTRL,-,NO,NO,Friendly characters beginning their turns in the spellcaster's control area gain +2 movement and Pathfinder during their turns.  True Path lasts for one round.
True Sight,2,SELF,-,-,YES,NO,"The character ignores concealment, Camouflage, and stealth.  The character can also see in complete darkness."
Twister,2,10,3,10,NO,YES,The AOE is a cloud effect that remians in play for one round.
Unminding,3,10,-,-,YES,YES,Target enemy warbeast suffers –2 FURY and THR and loses its animus. The spellcaster can cast an affected warbeast's animus as a spell as if the animus belonged to a warbeast he controls.
Unnatural Aggression,2,6,-,-,YES,NO,"If target warbeast in the spellcaster's battlegroup suffered damage during an enemy's turn during the last round, the warbeast can make a full advance during the spellcaster's next Maintenance Phase. During this movement, it must move toward the nearest enemy."
Unstoppable Force,2,SELF,CTRL,-,NO,NO,"While in caster's CTRL characters in her battlegroup gain Bulldoze. Lasts one turn. (When a character with Bulldoze advances into B2B with an enemy, it can push that enemy 2"" directly away. Can only be pushed by Buldoze once per turn. No effect if making a Trample power attack.)"
Veil of Mists,3,CTRL,4,-,YES,NO,"Place a 4˝ AOE cloud effect anywhere completely in the caster's control area. This AOE does not block friendly chars' LOS. While in the AOE, friendly chars ignore movement penalties for rough terrain and can move through obstructions and other chars if they have enough movement to move completely past them."
Venom,2,SP 8,-,10,NO,YEs,Characters hit suffer the Corrosion continuous effect.
Vision,2,6,-,-,YES,NO,"The next time target character is directly hit by an attack, he suffers no damage roll from the attack, then Vision Expires."
Voodoo Doll,2,8,-,-,NO,YEs,Choose one of target living enemy's aspects on his damage spiral. That aspect suffers the effects of being crippled for one round.
Voltaic Lock,4,10,*,-,NO,YES,Target steamjack cannot advance and suffers -4 DEF.  A steamjack beginning an advance within 3” of the hit steamjack cannot run or charge and can only advance directly towards it.Voltaic Lock lasts for one round.
Wall of Fire,2,CTRL,WALL,-,YES,NO,"Place a wall template (p. 352) anywhere completely in the caster's CTRL where it does not touch a char's base, an obstruction, or an obstacle. When a char enters or ends his turn in the wall area, he suffers an unboostable  POW 12 fire damage roll and the Fire continuous effect.  Chars within the wall template gain Concealment."
Warpath,2,SELF,CTRL,-,YES,NO,"When a character in the caster's battlegroup that is in hisCTRL destroys one or more enemies with a melee or ranged attack during his activation, one warbeast in the caster's battlegroup that is in his CTRL can advance up to 3˝ immediately after the attack is resolved. A warbeast can advance only once per turn as a result of Warpath."
Watcher,3,SELF,-,-,YES,NO,"When enemy advances and ends movement within 6"" of caster, choose a character in caster's battlegroup in CTRL . That character can immediately make full advance and a normal melee or ranged attack vs that enemy with boosted attack and damage rolls. Watcher expires after the attack is resolved."
Webbing,3,CTRL,3,-,NO,YES,Place AOE completely within CTRL. In AOE characters cannot move except to change facing. Remains in play 1 round.
Weald Hunter,2,6,-,-,YES,NO,"Target character gains Treewalker. (A character with Treewalker ignores forests when determining LOS. While in a forest, a character with Treewalker gains +2  DEF against melee attack rolls and can advance through obstructions and other characters if he has enough movement to move completely past them.)"
White Out,4,SELF,CTRL,-,YES,NO,"While in the Spellcaster's control area, enemy characters have their LOS reduced to 5”."
Wild Aggression,3,6,-,-,YES,NO,"Target living warbeast in the spellcaster's battlegroup can run, charge, or make slam or trample power attacks without being forced and gains boosted melee attack rolls."
Wind Blast,2,CTRL,5,-,NO,NO,Place a 5” AOE anywhere completely in the spellcaster's control area.  Cloud effects overlapping the AOE expire.  Characters suffer -3 RAT while within the AOE.  The AOE remains in play for one round.
Wind Strike,1,6,-,-,NO,YES,"This spell does not inflict damage.  An enemy directly hit by this spell is pushed 1” directly away from the sellcaster.  After the enemy is pushed, the spellcaster can advance up to 1” directly toward the pushed enemy."
Wings of Air,2,SELF,-,-,NO,NO,Place the spellcaster anywhere completely within 5” of his current location.  Wings of Air can be cast only once per turn.
Winter Storm,3,SELF,CTRL,-,NO,NO,"Enemies that begin their turn in the spellcaster's control area lose Eyeless Sight, Flight, and Pathfinder during their turns.  Winter Storm lasts for one round."
Zephyr,3,6,-,-,NO,NO,Target character can immediately advance up to 5”.  A character can be affected by Zephyr only once per round.
